text,author
"GLOUCESTER.
Good friend, I prithee, take him in thy arms;
I have o’erheard a plot of death upon him;
There is a litter ready; lay him in’t
And drive towards Dover, friend, where thou shalt meet
Both welcome and protection. Take up thy master;
If thou shouldst dally half an hour, his life,
With thine, and all that offer to defend him,
Stand in assured loss. Take up, take up;
And follow me, that will to some provision
Give thee quick conduct. KENT.
Oppressed nature sleeps.
This rest might yet have balm’d thy broken sinews,
Which, if convenience will not allow,
Stand in hard cure. Come, help to bear thy master;
[_To the Fool._] Thou must not stay behind. EDGAR.
When we our betters see bearing our woes,
We scarcely think our miseries our foes.
Who alone suffers, suffers most i’ the mind,
Leaving free things and happy shows behind:
But then the mind much sufferance doth o’erskip
When grief hath mates, and bearing fellowship.
How light and portable my pain seems now,
When that which makes me bend makes the King bow;
He childed as I fathered! Tom, away!
Mark the high noises; and thyself bewray,
When false opinion, whose wrong thoughts defile thee,
In thy just proof repeals and reconciles thee.
What will hap more tonight, safe ’scape the King!
Lurk, lurk.",Shakespeare
"“And so do I. It is precisely for that reason that we are going to
Stoke Moran this day. I want to see whether the objections are fatal,
or if they may be explained away. But what in the name of the devil!” The ejaculation had been drawn from my companion by the fact that our
door had been suddenly dashed open, and that a huge man had framed
himself in the aperture. His costume was a peculiar mixture of the
professional and of the agricultural, having a black top-hat, a long
frock-coat, and a pair of high gaiters, with a hunting-crop swinging in
his hand. So tall was he that his hat actually brushed the cross bar of
the doorway, and his breadth seemed to span it across from side to
side. A large face, seared with a thousand wrinkles, burned yellow with
the sun, and marked with every evil passion, was turned from one to the
other of us, while his deep-set, bile-shot eyes, and his high, thin,
fleshless nose, gave him somewhat the resemblance to a fierce old bird
of prey. “Ha! You put me off, do you?” said our new visitor, taking a step
forward and shaking his hunting-crop. “I know you, you scoundrel! I
have heard of you before. You are Holmes, the meddler.”",ConanDoyle
"“Marry, we shall have it again,” sighed the boy; “that same old
weary tale that he hath told a thousand times in the same words,
and that he _will_ tell till he dieth, every time he hath gotten his
barrel full and feeleth his exaggeration-mill a-working. Would
God I had died or I saw this day!” “Merlin, the mighty liar and magician, perdition singe him for
the weariness he worketh with his one tale! But that men fear
him for that he hath the storms and the lightnings and all the
devils that be in hell at his beck and call, they would have dug
his entrails out these many years ago to get at that tale and
squelch it. He telleth it always in the third person, making
believe he is too modest to glorify himself--maledictions light
upon him, misfortune be his dole! Good friend, prithee call me
for evensong.” The boy nestled himself upon my shoulder and pretended to go
to sleep. The old man began his tale; and presently the lad was
asleep in reality; so also were the dogs, and the court, the lackeys,
and the files of men-at-arms. The droning voice droned on; a soft
snoring arose on all sides and supported it like a deep and subdued
accompaniment of wind instruments. Some heads were bowed upon
folded arms, some lay back with open mouths that issued unconscious
music; the flies buzzed and bit, unmolested, the rats swarmed
softly out from a hundred holes, and pattered about, and made
themselves at home everywhere; and one of them sat up like a
squirrel on the king's head and held a bit of cheese in its hands
and nibbled it, and dribbled the crumbs in the king's face with
naive and impudent irreverence. It was a tranquil scene, and
restful to the weary eye and the jaded spirit.",Twain
"LEONATO.
No, no; we will hold it as a dream till it appear itself: but I
will acquaint my daughter withal, that she may be the better prepared for
an answer, if peradventure this be true. Go you and tell her of it. Cousins, you know what you have to do. O! I cry you mercy, friend; go you
with me, and I will use your skill. Good cousin, have a care this busy
time. DON JOHN.
I wonder that thou (being as thou say’st thou art, born
under Saturn) goest about to apply a moral medicine to a mortifying
mischief. I cannot hide what I am: I must be sad when I have cause, and
smile at no man’s jests; eat when I have stomach, and wait for no
man’s leisure; sleep when I am drowsy, and tend on no man’s
business; laugh when I am merry, and claw no man in his humour. CONRADE.
Yea; but you must not make the full show of this till you may do
it without controlment. You have of late stood out against your brother,
and he hath ta’en you newly into his grace; where it is impossible
you should take true root but by the fair weather that you make yourself:
it is needful that you frame the season for your own harvest.",Shakespeare
"“I wonder he did not remember the book”—was all Harriet’s answer, and
spoken with a degree of grave displeasure which Emma thought might be
safely left to itself. She, therefore, said no more for some time. Her
next beginning was, She then repeated some warm personal praise which she had drawn from
Mr. Elton, and now did full justice to; and Harriet blushed and smiled,
and said she had always thought Mr. Elton very agreeable. Mr. Elton was the very person fixed on by Emma for driving the young
farmer out of Harriet’s head. She thought it would be an excellent
match; and only too palpably desirable, natural, and probable, for her
to have much merit in planning it. She feared it was what every body
else must think of and predict. It was not likely, however, that any
body should have equalled her in the date of the plan, as it had
entered her brain during the very first evening of Harriet’s coming to
Hartfield. The longer she considered it, the greater was her sense of
its expediency. Mr. Elton’s situation was most suitable, quite the
gentleman himself, and without low connexions; at the same time, not of
any family that could fairly object to the doubtful birth of Harriet.
He had a comfortable home for her, and Emma imagined a very sufficient
income; for though the vicarage of Highbury was not large, he was known
to have some independent property; and she thought very highly of him
as a good-humoured, well-meaning, respectable young man, without any
deficiency of useful understanding or knowledge of the world.",Austen
"PLAYER QUEEN.
Nor earth to me give food, nor heaven light,
Sport and repose lock from me day and night,
To desperation turn my trust and hope,
An anchor’s cheer in prison be my scope,
Each opposite that blanks the face of joy,
Meet what I would have well, and it destroy!
Both here and hence pursue me lasting strife,
If, once a widow, ever I be wife. HAMLET.
_The Mousetrap._ Marry, how? Tropically. This play is the image of a
murder done in Vienna. Gonzago is the Duke’s name, his wife Baptista:
you shall see anon; ’tis a knavish piece of work: but what o’ that?
Your majesty, and we that have free souls, it touches us not. Let the
gall’d jade wince; our withers are unwrung. LUCIANUS.
Thoughts black, hands apt, drugs fit, and time agreeing,
Confederate season, else no creature seeing;
Thou mixture rank, of midnight weeds collected,
With Hecate’s ban thrice blasted, thrice infected,
Thy natural magic and dire property
On wholesome life usurp immediately. HAMLET.
He poisons him i’ th’garden for’s estate. His name’s Gonzago. The story
is extant, and written in very choice Italian. You shall see anon how
the murderer gets the love of Gonzago’s wife.",Shakespeare
"Looking fixedly at me, she puts her hand to her forehead, and moans.
Suddenly, she cries, in a terrible voice, ‘Rosa, come to me. He is
dead!’ Rosa kneeling at her feet, by turns caresses her, and quarrels
with her; now fiercely telling her, ‘I loved him better than you ever
did!’--now soothing her to sleep on her breast, like a sick child. Thus
I leave them; thus I always find them; thus they wear their time away,
from year to year. Indeed it is Julia Mills, peevish and fine, with a black man to carry
cards and letters to her on a golden salver, and a copper-coloured woman
in linen, with a bright handkerchief round her head, to serve her Tiffin
in her dressing-room. But Julia keeps no diary in these days; never
sings Affection’s Dirge; eternally quarrels with the old Scotch Croesus,
who is a sort of yellow bear with a tanned hide. Julia is steeped in
money to the throat, and talks and thinks of nothing else. I liked her
better in the Desert of Sahara. Or perhaps this IS the Desert of Sahara! For, though Julia has a stately
house, and mighty company, and sumptuous dinners every day, I see no
green growth near her; nothing that can ever come to fruit or flower.
What Julia calls ‘society’, I see; among it Mr. Jack Maldon, from his
Patent Place, sneering at the hand that gave it him, and speaking to me
of the Doctor as ‘so charmingly antique’. But when society is the name
for such hollow gentlemen and ladies, Julia, and when its breeding is
professed indifference to everything that can advance or can retard
mankind, I think we must have lost ourselves in that same Desert of
Sahara, and had better find the way out.",Dickens
"LAUNCELET.
To be brief, the very truth is that the Jew, having done me wrong, doth
cause me, as my father, being I hope an old man, shall frutify unto
you. LAUNCELET.
In very brief, the suit is impertinent to myself, as your worship shall
know by this honest old man, and though I say it, though old man, yet
poor man, my father. BASSANIO.
I know thee well; thou hast obtain’d thy suit.
Shylock thy master spoke with me this day,
And hath preferr’d thee, if it be preferment
To leave a rich Jew’s service to become
The follower of so poor a gentleman. BASSANIO.
Thou speak’st it well. Go, father, with thy son.
Take leave of thy old master, and inquire
My lodging out. [_To a Servant._] Give him a livery
More guarded than his fellows’; see it done. LAUNCELET.
Father, in. I cannot get a service, no! I have ne’er a tongue in my
head! [_Looking on his palm._] Well, if any man in Italy have a fairer
table which doth offer to swear upon a book, I shall have good fortune;
go to, here’s a simple line of life. Here’s a small trifle of wives,
alas, fifteen wives is nothing; eleven widows and nine maids is a
simple coming-in for one man. And then to scape drowning thrice, and to
be in peril of my life with the edge of a feather-bed; here are simple
’scapes. Well, if Fortune be a woman, she’s a good wench for this gear.
Father, come; I’ll take my leave of the Jew in the twinkling.",Shakespeare
"A few minutes, though as few as possible, were inevitably consumed; and
when her own mistress again, when able to turn and look as she had done
before, she found herself accosted by Captain Wentworth, in a reserved
yet hurried sort of farewell. “He must wish her good night; he was
going; he should get home as fast as he could.” Jealousy of Mr Elliot! It was the only intelligible motive. Captain
Wentworth jealous of her affection! Could she have believed it a week
ago; three hours ago! For a moment the gratification was exquisite.
But, alas! there were very different thoughts to succeed. How was such
jealousy to be quieted? How was the truth to reach him? How, in all the
peculiar disadvantages of their respective situations, would he ever
learn of her real sentiments? It was misery to think of Mr Elliot’s
attentions. Their evil was incalculable. Anne recollected with pleasure the next morning her promise of going to
Mrs Smith, meaning that it should engage her from home at the time when
Mr Elliot would be most likely to call; for to avoid Mr Elliot was
almost a first object. She felt a great deal of good-will towards him. In spite of the
mischief of his attentions, she owed him gratitude and regard, perhaps
compassion. She could not help thinking much of the extraordinary
circumstances attending their acquaintance, of the right which he
seemed to have to interest her, by everything in situation, by his own
sentiments, by his early prepossession. It was altogether very
extraordinary; flattering, but painful. There was much to regret. How
she might have felt had there been no Captain Wentworth in the case,
was not worth enquiry; for there was a Captain Wentworth; and be the
conclusion of the present suspense good or bad, her affection would be
his for ever. Their union, she believed, could not divide her more from
other men, than their final separation.",Austen
"“They were rich and I was poor, so that it was no easy matter for me to
follow them. When I got to London my pocket was about empty, and I
found that I must turn my hand to something for my living. Driving and
riding are as natural to me as walking, so I applied at a cabowner’s
office, and soon got employment. I was to bring a certain sum a week to
the owner, and whatever was over that I might keep for myself. There
was seldom much over, but I managed to scrape along somehow. The
hardest job was to learn my way about, for I reckon that of all the
mazes that ever were contrived, this city is the most confusing. I had
a map beside me though, and when once I had spotted the principal
hotels and stations, I got on pretty well. “It was some time before I found out where my two gentlemen were
living; but I inquired and inquired until at last I dropped across
them. They were at a boarding-house at Camberwell, over on the other
side of the river. When once I found them out I knew that I had them at
my mercy. I had grown my beard, and there was no chance of their
recognizing me. I would dog them and follow them until I saw my
opportunity. I was determined that they should not escape me again.",ConanDoyle
